asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
3437805,(2008 VR4),23.09,64.0552862945,143.2319744727,10.3528106713,12848441.231621323,2026-02-20
3624901,(2013 BF27),21.57,128.9896833431,288.4297003513,6.9149077687,26615152.42651822,2026-02-20
3824978,(2018 KS),27.9,6.9912523225,15.6329154409,5.7728073833,40696035.095548056,2026-02-20
54177363,(2021 PF),23.4,55.5334911581,124.1766612574,27.0588212111,67257007.8709254,2026-02-20
54244527,(2022 CM),25.05,25.974965333,58.0817881978,32.1232336449,74462367.37834723,2026-02-20
54294032,(2022 PK1),25.19,24.3531406274,54.4552779086,15.1436153924,38542836.25628055,2026-02-20
54304629,(2022 SW),25.14,24.9203981441,55.7237042765,16.5773597105,47775574.491618104,2026-02-20
54423313,(2024 BS4),25.89,17.6422908113,39.4493615328,10.4313580845,21840716.89790597,2026-02-20
54571423,(2025 YC10),21.22,151.5496635722,338.8753497147,6.8319112847,21503799.2172374,2026-02-20
54597122,(2026 CO),25.54,20.7278843377,46.3489584089,7.4942490696,1728322.772165454,2026-02-20
54597138,(2026 AH17),23.39,55.7898221067,124.7498346832,7.3015664967,4327442.807690882,2026-02-20
54597146,(2026 BQ8),23.64,49.7227312909,111.1834071935,6.248421369,4686264.12977167,2026-02-20
54602811,(2026 CZ3),25.58,20.3495578117,45.502994579,17.7546371573,2578269.578077799,2026-02-20
54603963,(2026 DB6),25.48,21.3086029248,47.6474846455,9.4163493748,6538589.369248835,2026-02-20
54603975,(2026 DF7),26.56,12.9585072669,28.9761031358,17.4860373463,839279.146360302,2026-02-20
54603978,(2026 DJ7),28.1,6.3760978988,14.2573883328,7.436536184,2666881.333208509,2026-02-20
54604125,(2026 DX7),25.32,22.9379697996,51.2908597378,9.3989147781,2672404.800724436,2026-02-20
54604285,(2026 DZ9),25.64,19.7949758664,44.2629116503,11.2850984461,4300016.371953154,2026-02-20
54604292,(2026 DS10),27.01,10.5330701505,23.5526608683,15.635036248,1413845.684543889,2026-02-20
3369098,(2007 DB61),23.79,46.4039528246,103.7623929406,8.7837692823,3433764.445395899,2026-02-21
3558378,(2011 EO11),27.4,8.801465209,19.6806745089,19.6344097042,43373584.776458815,2026-02-21
3824980,(2018 KU),26.4,13.9493822934,31.1917670523,21.1589011488,69937146.70201139,2026-02-21
54115839,(2021 CC6),30.15,2.4805899315,5.5467677112,10.6754815574,13879159.15656363,2026-02-21
54246616,(2022 CK6),26.58,12.8397029582,28.7104486255,17.125250614,47889454.86784988,2026-02-21
54341442,(2023 CU),27.23,9.5182032982,21.2833495984,13.879535217,45493587.100383975,2026-02-21
54520035,(2025 DQ),29.93,2.7450798165,6.1381850734,6.7826003176,1160262.454785185,2026-02-21
54537543,(2025 MW89),27.24,9.4744711265,21.1855614896,4.5472831253,29847924.24976137,2026-02-21
54576628,(2025 YU15),22.08,101.9893858518,228.0551997482,9.524598555,5885047.766805689,2026-02-21
54603178,(2026 DY),26.88,11.1829137825,25.0057554041,6.9543851472,3382757.376123255,2026-02-21
54604287,(2026 DN10),24.27,37.201031034,83.1840342251,11.2824025961,15471925.075450692,2026-02-21
3558372,(2011 EX4),24.6,31.9561886721,71.4562101727,13.7254632828,32188049.45729935,2026-02-19
3599929,(2012 DT32),21.21,152.249185036,340.4395272595,26.3868399087,55999668.521243975,2026-02-19
3744994,(2016 ED),23.7,48.3676488219,108.1533506775,16.1149142679,62944368.7149376,2026-02-19
3791243,(2017 XA1),21.3,146.0679642714,326.6178974458,7.5790150876,57464558.15093546,2026-02-19
3840800,(2019 GS1),24.46,34.084346887,76.214916608,21.559307832,52828909.33849427,2026-02-19
3989813,(2020 CX1),24.13,39.6784754066,88.7237682527,6.6748712226,23198943.739960432,2026-02-19
54123627,(2021 DU1),23.89,44.3154309096,99.0923159661,19.459596598,33257895.90192312,2026-02-19
54209222,(2021 TK13),25.41,22.0067027115,49.2084832235,5.386115282,12489124.576033179,2026-02-19
54316897,(2022 UY),25.49,21.2106987876,47.4285643393,9.0512763898,37814582.276164986,2026-02-19
54341551,(2023 CM2),26.07,16.238839022,36.3111479288,11.8678654055,3873343.46987474,2026-02-19
54521709,(2025 DG25),26.33,14.4063836669,32.2136531891,7.4366778377,14316444.755936649,2026-02-19
54602550,(2026 CA2),25.11,25.2670754154,56.4988982214,8.8464152993,4234447.14681897,2026-02-19
54603075,(2026 DW),27.48,8.4831076189,18.9688052962,3.7774410558,3972160.103546648,2026-02-19
